"","Squad","Comp","Player","Nation","Pos","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","PK_Standard","PKatt_Standard","FK_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np.G_minus_xG_Expected"
"1","Ajaccio","Ligue 1","Mickaël Alphonse","GLP","DF",47,31,35,32,17,25,16,32,32,45,89,87,77,23,24,18,35,35
"2","Ajaccio","Ligue 1","Cédric Avinel","GLP","DF",62,57,9,18,52,1,3,98,100,0,89,87,77,41,42,100,61,61
"3","Ajaccio","Ligue 1","Mickaël Barreto","FRA","MF",42,57,58,49,18,54,40,42,54,97,89,87,93,38,39,18,63,64
"4","Ajaccio","Ligue 1","Cyrille Bayala","BFA","MF",66,57,64,62,33,43,38,42,42,36,89,87,77,63,64,56,19,18
"5","Ajaccio","Ligue 1","Youcef Belaïli","ALG","MF,FW",40,91,72,74,52,74,71,38,35,93,99,100,95,90,62,37,52,23
"7","Ajaccio","Ligue 1","Florian Chabrolle","FRA","MF",11,31,6,18,90,19,37,32,32,97,89,87,77,5,5,4,57,58
"9","Ajaccio","Ligue 1","Yanis Cimignani","FRA","MF,DF",9,31,22,32,52,70,68,32,32,92,89,87,77,10,10,4,52,53
"13","Ajaccio","Ligue 1","Oumar Gonzalez","CMR","DF",84,31,39,41,33,11,13,32,32,9,89,87,77,41,42,56,19,18
"15","Ajaccio","Ligue 1","Romain Hamouma","FRA","FW,MF",37,70,52,62,63,53,59,74,68,36,89,87,87,75,77,96,19,18
"16","Ajaccio","Ligue 1","Mounaim El Idrissy","FRA","FW",84,91,91,92,64,67,70,69,61,30,89,87,77,92,94,86,15,15
"18","Ajaccio","Ligue 1","Youssouf Koné","MLI","DF",31,31,3,18,100,0,11,32,32,98,89,87,77,1,1,10,61,61
"22","Ajaccio","Ligue 1","Ruan Levine","BRA","MF,FW",1,31,6,18,90,100,99,32,32,21,89,87,77,10,10,47,52,53
"24","Ajaccio","Ligue 1","Vincent Marchetti","FRA","MF",81,31,83,74,23,55,45,32,32,87,89,87,87,66,69,28,4,4
"26","Ajaccio","Ligue 1","Bevic Moussiti-Oko","CGO","FW",24,57,60,67,55,86,81,42,38,17,89,87,77,60,62,56,24,23
"27","Ajaccio","Ligue 1","Riad Nouri","FRA","MF,FW",57,57,52,49,28,37,31,45,54,46,89,94,77,68,57,63,11,31
"31","Ajaccio","Ligue 1","Moussa Soumano","FRA","FW",15,57,22,32,52,47,48,85,90,55,89,87,77,23,24,56,75,75
"32","Ajaccio","Ligue 1","Kevin Spadanuda","SUI","MF,FW",36,31,25,18,7,21,8,32,32,28,89,87,77,31,32,63,27,27
"35","Ajaccio","Ligue 1","Clément Vidal","FRA","DF,MF",62,31,39,18,2,19,3,32,32,6,89,87,77,31,32,37,27,27
"36","Ajaccio","Ligue 1","Mohamed Youssouf","COM","DF",80,31,17,18,17,2,2,32,32,64,89,87,77,14,14,18,45,46
"37","Almería","La Liga","Sergio Akieme","ESP","DF",77,57,66,67,40,38,38,38,38,73,89,87,77,54,55,37,35,35
"38","Almería","La Liga","Srđan Babić","SRB","DF",95,77,32,55,92,5,20,98,92,6,89,87,77,47,48,82,93,93
"39","Almería","La Liga","Léo Baptistão","BRA","FW,MF",60,87,88,88,57,80,78,66,60,32,89,87,77,86,88,71,63,64
"40","Almería","La Liga","El Bilal Touré","MLI","FW",41,91,74,83,81,75,85,91,79,12,89,87,77,90,92,98,52,53
"41","Almería","La Liga","Juan Brandáriz","ESP","DF",52,57,9,18,52,2,5,98,100,6,89,87,77,19,19,82,78,78
"42","Almería","La Liga","José Carlos Lazo","ESP","MF,FW",1,31,6,18,90,100,100,32,32,92,89,87,77,5,5,4,57,58
"43","Almería","La Liga","Álex Centelles","ESP","DF",36,57,13,32,90,7,23,95,90,74,89,87,77,14,14,56,80,80
"44","Almería","La Liga","Samu Costa","POR","MF",66,57,58,62,42,37,38,42,42,68,89,87,91,58,59,56,27,27
"45","Almería","La Liga","Curro","ESP","MF",1,31,3,18,100,73,98,32,32,41,89,87,77,5,5,56,57,58
"46","Almería","La Liga","Íñigo Eguaras","ESP","MF",33,57,28,41,63,29,38,74,68,79,89,87,77,41,42,82,61,61
"47","Almería","La Liga","Rodrigo Ely","BRA","DF",97,31,56,18,0,17,1,32,32,31,89,87,87,38,39,18,21,20
"48","Almería","La Liga","Adri Embarba","ESP","FW,MF",49,70,88,90,71,90,91,42,35,92,89,87,99,71,73,28,31,31
"50","Almería","La Liga","Luis Javier Suárez","COL","FW",53,83,87,83,43,84,76,61,60,41,89,87,77,84,86,71,41,41
"52","Almería","La Liga","César de la Hoz","ESP","MF",58,57,25,18,7,9,3,77,100,77,89,87,77,19,19,28,78,78
"53","Almería","La Liga","Lázaro","BRA","FW,MF",22,91,68,81,90,94,97,95,90,32,89,87,77,81,84,91,95,95
"55","Almería","La Liga","Gonzalo Melero","ESP","MF",62,83,64,77,79,46,59,77,59,57,95,94,77,73,64,56,88,85
"59","Almería","La Liga","Francisco Portillo","ESP","MF,FW",23,70,17,32,70,24,36,98,100,54,89,87,77,31,32,86,89,89
"60","Almería","La Liga","Alejandro Pozo Pozo","ESP","DF,MF",62,31,35,32,17,16,11,32,32,75,89,87,77,23,24,18,35,35
"61","Almería","La Liga","Arnau Puigmal","ESP","MF,FW",26,57,54,62,56,71,72,45,42,59,89,87,77,44,45,37,57,58
"62","Almería","La Liga","Largie Ramazani","BEL","FW,MF",49,77,85,90,80,85,91,53,42,72,89,94,87,82,80,56,16,46
"63","Almería","La Liga","Lucas Robertone","ARG","MF",91,70,83,67,13,49,33,42,58,95,89,87,95,71,73,37,31,31
"64","Almería","La Liga","Umar Sadiq","NGA","FW",8,70,25,41,75,86,90,96,94,29,89,87,77,54,55,98,75,75
"65","Almería","La Liga","Dyego Sousa","POR","FW",17,31,45,49,41,79,71,32,32,28,89,87,77,47,48,56,15,15
"66","Angers","Ligue 1","Himad Abdelli","FRA","MF,FW",70,70,66,67,40,42,41,57,58,84,89,87,91,52,53,28,78,78
"69","Angers","Ligue 1","Nabil Bentaleb","ALG","MF",81,83,84,83,53,55,59,42,39,98,97,96,98,76,55,10,84,75
"71","Angers","Ligue 1","Miha Blažič","SVN","DF",65,70,28,49,90,9,27,95,90,5,89,87,87,56,57,97,72,72
"72","Angers","Ligue 1","Antonin Bobichon","FRA","MF",1,31,3,18,100,99,100,32,32,99,89,87,87,5,5,28,57,58
"73","Angers","Ligue 1","Sofiane Boufal","MAR","FW,MF",29,83,62,74,75,78,84,61,47,77,97,96,95,80,65,63,72,58
"74","Angers","Ligue 1","Ousmane Camara","FRA","DF",17,31,3,18,100,2,23,32,32,1,89,87,77,10,10,91,52,53
"75","Angers","Ligue 1","Pierrick Capelle","FRA","MF,DF",47,31,52,67,76,45,57,32,32,56,89,87,77,54,55,63,10,10
"77","Angers","Ligue 1","Lois Diony","FRA","FW",15,57,42,41,28,78,63,53,68,29,89,87,77,65,67,95,15,15
"78","Angers","Ligue 1","Souleyman Doumbia","CIV","DF,FW",62,31,25,32,37,8,11,32,32,42,89,87,77,41,42,86,19,18
"81","Angers","Ligue 1","Cédric Hountondji","BEN","DF",98,31,39,49,59,6,14,32,32,3,89,87,77,44,45,63,16,16
"82","Angers","Ligue 1","Adrien Hunou","FRA","MF,FW",75,83,88,89,66,65,70,57,48,22,89,87,77,91,93,88,3,3
"83","Angers","Ligue 1","Marin Jakoliš","CRO","FW",1,31,6,18,90,99,99,32,32,18,89,87,77,5,5,28,57,58
"87","Angers","Ligue 1","Farid El Melali","ALG","DF,FW",26,31,39,32,12,51,33,32,32,65,89,87,77,44,45,63,16,16
"88","Angers","Ligue 1","Batista Mendy","FRA","MF,DF",93,31,49,32,5,15,5,32,32,91,89,87,77,38,39,28,21,20
"89","Angers","Ligue 1","Ibrahima Niane","SEN","FW",40,70,71,79,74,72,80,53,42,24,89,87,77,79,81,82,11,11
"90","Angers","Ligue 1","Zinédine Ould Khaled","FRA","MF,FW",2,31,3,18,100,66,97,32,32,0,89,87,77,14,14,99,45,46
"91","Angers","Ligue 1","Azzedine Ounahi","MAR","MF,FW",39,31,66,62,29,67,58,32,32,71,89,87,87,60,62,47,7,7
"92","Angers","Ligue 1","Lilian Raolisoa","FRA","DF,MF",4,57,9,32,96,71,93,98,90,64,89,87,77,10,10,28,83,82
"93","Angers","Ligue 1","Halid Šabanović","BIH","DF",19,70,17,41,94,31,56,98,94,51,89,87,77,38,39,95,86,86
"94","Angers","Ligue 1","Amine Salama","FRA","FW,MF",43,77,69,79,77,67,76,69,55,36,89,87,87,75,77,77,61,61
"95","Angers","Ligue 1","Abdallah Sima","SEN","FW",61,87,84,77,30,70,60,74,90,17,89,87,77,85,87,77,70,70
"97","Angers","Ligue 1","Sada Thioub","SEN","DF,FW",35,57,32,18,3,33,9,66,100,26,89,87,77,52,53,88,41,41
"98","Angers","Ligue 1","Yan Valery","TUN","DF",81,31,45,32,8,15,7,32,32,78,89,87,77,35,36,28,24,23
"99","Arsenal","Premier League","Gabriel Dos Santos","BRA","DF",100,77,79,74,34,34,34,57,68,13,89,87,77,87,89,91,5,5
"101","Arsenal","Premier League","Rob Holding","ENG","DF",19,57,17,32,70,33,43,90,90,19,89,87,77,14,14,37,80,80
"102","Arsenal","Premier League","Gabriel Jesus","BRA","FW",71,97,98,98,71,94,94,74,61,7,95,94,77,99,99,93,2,1
"104","Arsenal","Premier League","Jakub Kiwior","POL","DF",14,57,3,18,100,3,30,100,100,5,89,87,77,5,5,63,84,84
"106","Arsenal","Premier League","Martinelli","BRA","FW",92,99,98,98,64,85,84,88,90,37,89,87,91,96,97,77,100,100
"107","Arsenal","Premier League","Reiss Nelson","ENG","FW",7,77,42,67,93,99,99,95,78,46,89,87,87,44,45,56,93,94
"108","Arsenal","Premier League","Eddie Nketiah","ENG","FW",37,83,87,86,53,95,91,61,58,9,89,87,77,94,96,97,1,1
"110","Arsenal","Premier League","Thomas Partey","GHA","MF",84,77,74,49,7,42,18,66,94,75,89,87,77,65,67,47,83,82
"112","Arsenal","Premier League","Bukayo Saka","ENG","FW",99,98,99,97,53,82,78,77,75,45,97,98,87,98,97,71,97,97
"113","Arsenal","Premier League","William Saliba","FRA","DF",82,70,22,41,90,3,13,98,94,25,89,87,77,38,39,88,86,86
"115","Arsenal","Premier League","Emile Smith Rowe","ENG","MF,FW",5,31,13,18,28,73,60,32,32,40,89,87,77,14,14,37,45,46
"117","Arsenal","Premier League","Kieran Tierney","SCO","DF",27,31,25,32,37,32,33,32,32,88,89,87,77,14,14,18,45,46
"119","Arsenal","Premier League","Leandro Trossard","BEL","FW",32,57,54,55,38,62,58,45,46,55,89,87,77,60,62,71,24,23
"120","Arsenal","Premier League","Fabio Vieira","POR","MF,FW",17,57,49,32,5,87,46,49,90,73,89,87,77,35,36,28,66,67
"121","Arsenal","Premier League","Ben White","ENG","DF",97,70,35,32,17,5,5,90,100,48,89,87,77,49,50,82,80,80
"122","Arsenal","Premier League","Granit Xhaka","SUI","MF",96,93,85,86,55,48,53,87,90,48,89,87,93,84,86,71,96,96
"123","Arsenal","Premier League","Oleksandr Zinchenko","UKR","DF",73,57,74,67,28,48,41,38,38,87,89,87,77,52,53,18,41,41
"124","Arsenal","Premier League","Martin Ødegaard","NOR","MF",98,99,99,98,52,87,81,81,80,67,89,87,99,97,98,71,100,99
"126","Aston Villa","Premier League","Ludwig Augustinsson","SWE","DF",2,31,6,18,90,80,91,32,32,18,89,87,77,5,5,10,57,58
"127","Aston Villa","Premier League","Leon Bailey","JAM","FW,MF",68,83,91,86,33,80,67,53,58,60,89,87,93,88,90,63,13,13
"129","Aston Villa","Premier League","Emi Buendía","ARG","MF,FW",82,87,90,79,21,67,51,61,79,41,89,87,91,91,92,82,13,13
"131","Aston Villa","Premier League","Matty Cash","POL","DF",63,31,25,18,7,8,3,32,32,97,89,87,77,10,10,4,52,53
"133","Aston Villa","Premier League","Philippe Coutinho","BRA","MF,FW",27,57,62,70,64,81,82,42,36,81,89,87,91,52,53,37,41,41
"135","Aston Villa","Premier League","Lucas Digne","FRA","DF",53,57,28,41,63,15,25,74,68,75,89,87,95,19,19,18,78,78
"136","Aston Villa","Premier League","Jhon Durán","COL","FW,MF",4,31,25,32,37,98,94,32,32,71,89,87,77,27,28,47,31,31
"137","Aston Villa","Premier League","Danny Ings","ENG","FW",28,91,69,81,82,88,93,81,68,38,97,96,77,88,83,88,80,67
"138","Aston Villa","Premier League","Boubacar Kamara","FRA","MF",61,31,13,18,28,2,3,32,32,99,89,87,77,10,10,18,52,53
"140","Aston Villa","Premier League","Douglas Luiz","BRA","MF",95,91,81,81,56,44,48,87,90,94,89,87,98,73,75,47,98,98
"142","Aston Villa","Premier League","John McGinn","SCO","MF,FW",90,57,87,79,30,55,48,32,34,89,89,87,77,68,70,28,11,11
"143","Aston Villa","Premier League","Tyrone Mings","ENG","DF",98,57,25,32,37,2,5,77,90,14,89,87,77,47,48,93,52,53
"144","Aston Villa","Premier League","Álex Moreno","ESP","DF",46,31,45,41,22,36,28,32,32,62,89,87,77,27,28,18,31,31
"146","Aston Villa","Premier League","Jacob Ramsey","ENG","MF,FW",88,91,80,83,66,47,54,87,79,41,89,87,77,87,89,91,84,84
"148","Aston Villa","Premier League","Bertrand Traoré","BFA","FW,MF",7,70,32,41,52,96,91,92,94,46,89,87,77,31,32,47,89,89
"149","Aston Villa","Premier League","Ollie Watkins","ENG","FW",98,99,98,99,91,82,93,85,60,17,95,96,77,99,99,95,10,20
"150","Aston Villa","Premier League","Ashley Young","ENG","DF",70,57,49,41,17,25,16,49,68,94,89,87,77,23,24,4,75,75
"151","Atalanta","Serie A","Jeremie Boga","CIV","MF,FW",27,70,45,41,22,58,46,79,94,73,89,87,91,61,63,86,63,64
"152","Atalanta","Serie A","Merih Demiral","TUR","DF",54,57,22,18,11,8,5,85,100,24,89,87,77,31,32,77,70,70
"154","Atalanta","Serie A","Éderson","BRA","MF",73,57,82,74,28,57,49,35,35,81,89,87,77,61,63,28,21,20
"155","Atalanta","Serie A","Hans Hateboer","NED","DF",49,57,42,49,52,31,36,53,54,7,89,87,77,49,50,71,45,46
"156","Atalanta","Serie A","Rasmus Højlund","DEN","FW",61,94,90,96,90,85,93,81,61,20,89,87,77,95,96,93,52,53
"157","Atalanta","Serie A","Teun Koopmeiners","NED","MF",92,93,90,92,65,60,66,61,54,84,97,99,97,90,76,28,83,95
"158","Atalanta","Serie A","Ademola Lookman","NGA","FW,MF",59,98,89,94,81,84,91,91,79,39,98,98,87,96,93,86,99,99
"159","Atalanta","Serie A","José Luis Palomino","ARG","DF",25,57,22,41,90,28,47,85,68,17,89,87,77,23,24,56,75,75
"160","Atalanta","Serie A","Ruslan Malinovskyi","UKR","MF,FW",18,57,58,62,42,92,84,42,42,95,89,87,77,27,28,4,72,72
"161","Atalanta","Serie A","Luis Muriel","COL","FW,MF",36,70,78,67,21,86,65,35,38,79,95,94,95,65,53,18,52,41
"163","Atalanta","Serie A","Joakim Mæhle","DEN","DF,MF",73,77,69,62,23,44,35,69,90,61,89,87,77,75,77,77,61,61
"164","Atalanta","Serie A","Caleb Okoli","ITA","DF",32,31,25,32,37,26,27,32,32,15,89,87,77,23,24,28,35,35
"165","Atalanta","Serie A","Mario Pašalić","CRO","MF,FW",60,87,78,70,29,62,53,81,92,12,89,87,77,89,91,95,27,27
"166","Atalanta","Serie A","Marten de Roon","NED","MF",94,77,58,55,30,21,22,81,92,76,89,87,77,44,45,28,93,94
"167","Atalanta","Serie A","Matteo Ruggeri","ITA","DF,MF",28,31,35,18,2,46,13,32,32,48,89,87,77,27,28,28,31,31
"168","Atalanta","Serie A","Giorgio Scalvini","ITA","DF",77,70,52,49,28,23,22,74,90,10,89,87,77,54,55,63,75,75
"169","Atalanta","Serie A","Brandon Soppy","FRA","DF",21,31,25,32,37,41,38,32,32,65,89,87,77,14,14,18,45,46
"171","Atalanta","Serie A","Rafael Tolói","ITA","DF",90,70,75,74,41,40,41,49,47,22,89,87,77,73,75,63,24,23
"172","Atalanta","Serie A","Lukáš Vorlický","CZE","MF,FW",1,31,3,18,100,97,99,32,32,91,89,87,77,1,1,18,61,61
"173","Atalanta","Serie A","Duván Zapata","COL","FW",49,70,87,70,13,87,60,42,54,38,89,87,77,81,84,63,7,6
"174","Atalanta","Serie A","Davide Zappacosta","ITA","DF",49,83,68,77,73,59,68,85,75,47,89,87,77,54,55,28,96,96
"175","Atalanta","Serie A","Nadir Zortea","ITA","DF,MF",7,57,13,41,97,61,92,95,68,75,89,87,77,5,5,4,84,84
"177","Athletic Club","La Liga","Yeray Álvarez","ESP","DF",78,57,28,18,5,6,2,74,100,42,89,87,77,35,36,63,66,67
"179","Athletic Club","La Liga","Yuri Berchiche","ESP","DF",78,57,72,62,21,44,33,38,42,74,89,87,77,49,50,18,45,46
"180","Athletic Club","La Liga","Álex Berenguer","ESP","FW",76,83,92,92,55,75,74,49,46,59,89,87,95,83,85,47,52,53
"184","Athletic Club","La Liga","Raúl García","ESP","FW,MF",33,70,92,86,31,99,94,38,38,30,89,87,77,85,87,56,2,2
"185","Athletic Club","La Liga","Gorka Guruzeta","ESP","FW",46,91,91,88,43,95,88,69,72,19,89,87,91,90,91,77,61,61
"186","Athletic Club","La Liga","Ander Herrera","ESP","MF",21,31,35,18,2,55,18,32,32,77,89,87,91,23,24,18,35,35
"187","Athletic Club","La Liga","Iñigo Lekue","ESP","DF",46,31,32,18,3,22,7,32,32,97,89,87,77,10,10,1,52,53
"188","Athletic Club","La Liga","Óscar de Marcos","ESP","DF",91,57,13,32,90,1,7,95,90,74,89,87,77,19,19,63,78,78
"189","Athletic Club","La Liga","Iñigo Martínez","ESP","DF",46,57,35,32,17,26,16,61,90,35,89,87,93,35,36,47,66,67
"191","Athletic Club","La Liga","Iker Muniain","ESP","MF,FW",58,31,72,62,21,56,43,32,32,58,89,87,87,75,77,71,1,1
"192","Athletic Club","La Liga","Aitor Paredes","ESP","DF",26,31,32,41,52,44,46,32,32,14,89,87,77,27,28,28,31,31
"193","Athletic Club","La Liga","Oihan Sancet","ESP","MF",83,95,92,89,43,70,66,74,75,56,97,96,77,92,90,63,93,91
"195","Athletic Club","La Liga","Unai Vencedor Paris","ESP","MF",5,31,9,18,52,61,61,32,32,45,89,87,77,23,24,91,35,35
"196","Athletic Club","La Liga","Mikel Vesga","ESP","MF",85,77,69,41,3,37,13,38,68,80,97,96,77,76,55,28,57,35
"197","Athletic Club","La Liga","Asier Villalibre","ESP","FW",3,31,13,18,28,97,82,32,32,11,89,87,77,14,14,47,45,46
"198","Athletic Club","La Liga","Daniel Vivian","ESP","DF",77,57,45,32,8,16,8,53,90,18,89,87,77,47,48,56,52,53
"199","Athletic Club","La Liga","Iñaki Williams","GHA","FW",91,96,98,97,61,85,83,69,60,31,95,96,77,97,96,71,61,78
"200","Athletic Club","La Liga","Nico Williams","ESP","FW",87,91,94,92,52,73,70,61,59,57,89,87,87,85,88,47,88,88
"201","Athletic Club","La Liga","Oier Zarraga","ESP","MF",28,31,56,55,34,70,62,32,32,92,89,87,77,49,50,37,13,13
"202","Atlético Madrid","La Liga","Pablo Barrios","ESP","MF",21,31,42,41,28,64,54,32,32,82,89,87,77,23,24,10,35,35
"203","Atlético Madrid","La Liga","Yannick Carrasco","BEL","DF,MF",78,93,96,94,43,85,78,57,58,52,95,94,91,94,94,71,19,15
"204","Atlético Madrid","La Liga","Ángel Correa","ARG","FW,MF",48,93,85,88,70,87,87,87,78,38,89,87,77,90,92,88,84,84
"205","Atlético Madrid","La Liga","Matheus Cunha","BRA","FW,MF",12,31,42,70,96,90,98,32,32,43,89,87,77,52,53,77,11,11
"206","Atlético Madrid","La Liga","Rodrigo De Paul","ARG","MF",66,70,62,55,23,41,33,61,75,92,89,87,87,56,57,37,72,72
"209","Atlético Madrid","La Liga","João Félix","POR","FW,MF",22,83,71,81,80,96,97,79,68,65,89,87,87,73,75,71,88,88
"211","Atlético Madrid","La Liga","Antoine Griezmann","FRA","FW,MF",92,99,100,99,70,96,95,77,69,57,89,87,96,98,99,71,98,97
"212","Atlético Madrid","La Liga","Mario Hermoso","ESP","DF",70,77,49,55,52,26,31,90,92,43,89,87,77,63,65,88,84,84
"213","Atlético Madrid","La Liga","Koke","ESP","MF",83,31,52,18,1,21,2,32,32,87,89,87,77,35,36,18,24,23
"215","Atlético Madrid","La Liga","Thomas Lemar","FRA","MF",43,57,45,62,80,39,54,53,42,79,89,87,77,38,39,37,63,64
"216","Atlético Madrid","La Liga","Marcos Llorente","ESP","MF,DF",59,57,68,74,63,51,58,38,35,58,89,87,77,63,65,56,16,16
"218","Atlético Madrid","La Liga","José María Giménez","URU","DF",82,70,64,70,59,33,41,57,54,27,89,87,77,63,64,56,61,61
"219","Atlético Madrid","La Liga","Carlos Martín","ESP","FW,MF",1,31,3,18,100,93,99,32,32,50,89,87,77,5,5,28,57,58
"220","Atlético Madrid","La Liga","Memphis","NED","FW",9,83,39,55,79,96,97,98,94,12,89,87,77,75,77,99,85,85
"221","Atlético Madrid","La Liga","Nahuel Molina","ARG","DF",92,83,62,62,37,26,27,88,94,51,89,87,77,71,73,82,90,90
"222","Atlético Madrid","La Liga","Álvaro Morata","ESP","FW",65,98,97,98,78,95,95,87,75,15,89,87,77,98,99,93,88,88
"223","Atlético Madrid","La Liga","Saúl Ñíguez","ESP","MF,DF",35,77,56,70,78,61,72,85,72,59,89,87,77,63,64,71,85,85
"225","Atlético Madrid","La Liga","Sergio Reguilón","ESP","DF",7,31,6,18,90,33,51,32,32,70,89,87,77,5,5,18,57,58
"226","Atlético Madrid","La Liga","Stefan Savić","MNE","DF",64,31,6,18,90,0,3,32,32,20,89,87,77,10,10,47,52,53
"231","Augsburg","Bundesliga","Mergim Berisha","GER","FW",59,95,91,83,28,88,71,69,79,64,98,99,97,94,89,63,84,85
"232","Augsburg","Bundesliga","Daniel Caligiuri","ITA","DF,MF",10,57,22,32,52,68,66,85,90,71,89,87,77,19,19,37,78,78
"233","Augsburg","Bundesliga","Irvin Cardona","FRA","MF,FW",10,57,32,49,78,85,90,66,54,25,89,87,77,61,63,98,21,20
"234","Augsburg","Bundesliga","David Čolina","CRO","DF,FW",5,57,3,18,100,18,61,100,100,2,89,87,77,19,19,100,78,78
"235","Augsburg","Bundesliga","Ermedin Demirović","BIH","FW,MF",80,94,95,95,59,81,80,66,59,36,95,94,77,93,94,71,75,67
"237","Augsburg","Bundesliga","Dion Drena Beljo","CRO","FW",39,77,45,55,65,43,51,92,92,36,89,87,77,56,57,77,90,90
"238","Augsburg","Bundesliga","Arne Engels","BEL","MF",51,31,54,32,3,44,14,32,32,97,89,87,91,27,28,4,31,31
"239","Augsburg","Bundesliga","Ohis Felix Uduokhai","GER","DF",51,31,13,18,28,4,5,32,32,4,89,87,77,14,14,37,45,46
"242","Augsburg","Bundesliga","Jeffrey Gouweleeuw","NED","DF",93,31,49,49,31,15,16,32,32,37,89,87,77,52,53,63,11,11
"244","Augsburg","Bundesliga","Robert Gumny","POL","DF",70,57,32,41,52,11,16,66,68,22,89,87,77,31,32,47,70,70
"245","Augsburg","Bundesliga","André Hahn","GER","FW,MF",12,70,25,32,37,61,56,96,100,80,89,87,77,19,19,28,92,91
"247","Augsburg","Bundesliga","Fredrik Jensen","FIN","FW,MF",32,70,39,41,33,45,40,87,94,47,89,87,77,60,62,91,66,67
"249","Augsburg","Bundesliga","Arne Maier","GER","MF",68,87,74,77,57,51,56,87,90,79,89,87,93,56,57,28,99,98
"251","Augsburg","Bundesliga","Florian Niederlechner","GER","FW,MF",31,83,74,87,91,89,95,77,55,39,89,87,77,74,76,63,86,86
"256","Augsburg","Bundesliga","Elvis Rexhbeçaj","GER","MF",85,31,52,55,42,20,25,32,32,97,89,87,77,14,14,1,45,46
"257","Augsburg","Bundesliga","Ruben Vargas","SUI","MF,FW",40,77,62,62,37,63,58,77,90,75,89,87,87,47,48,28,93,93
"260","Augsburg","Bundesliga","Kelvin Yeboah","ITA","FW,MF",11,57,45,32,8,94,59,53,90,19,89,87,77,52,53,71,41,41
"262","Auxerre","Ligue 1","Matthis Abline","FRA","FW",27,70,64,67,43,85,77,42,38,77,95,96,77,79,62,47,11,23
"263","Auxerre","Ligue 1","Mathias Autret","FRA","MF,FW",45,70,66,79,82,61,75,38,34,95,95,94,87,70,59,37,35,27
"268","Auxerre","Ligue 1","Gaëtan Charbonnier","FRA","FW,MF",8,57,25,18,7,84,46,77,100,88,89,87,77,27,28,56,72,72
"270","Auxerre","Ligue 1","Nuno da Costa","CPV","FW,MF",68,87,84,86,60,65,67,74,70,40,89,87,77,83,86,71,80,80
"273","Auxerre","Ligue 1","Siriki Dembélé","CIV","MF",10,31,13,32,90,46,62,32,32,83,89,87,77,10,10,28,52,53
"274","Auxerre","Ligue 1","Rémy Dugimont","FRA","FW,MF",3,31,13,18,28,93,77,32,32,98,89,87,77,5,5,4,57,58
"275","Auxerre","Ligue 1","Gauthier Hein","FRA","MF,FW",63,70,84,77,30,69,59,42,46,68,89,87,91,81,84,63,7,6
"276","Auxerre","Ligue 1","Julian Jeanvier","GUI","DF",61,57,28,49,90,11,28,74,54,3,89,87,77,47,48,88,52,53
"278","Auxerre","Ligue 1","Jubal","BRA","DF",98,77,56,55,34,17,18,66,75,11,95,94,77,76,69,82,57,46
"280","Auxerre","Ligue 1","Youssouf M'Changama","COM","MF",37,31,56,32,3,58,23,32,32,99,89,87,98,27,28,4,31,31
"281","Auxerre","Ligue 1","Han-Noah Massengo","FRA","MF",36,31,35,18,2,35,9,32,32,72,89,87,77,31,32,37,27,27
"282","Auxerre","Ligue 1","Gideon Mensah","GHA","DF",74,31,17,18,17,3,2,32,32,95,89,87,77,5,5,0,57,58
"283","Auxerre","Ligue 1","M'Baye Niang","SEN","FW",51,87,80,77,39,72,67,45,46,26,98,98,77,89,80,63,31,13
"286","Auxerre","Ligue 1","Gaëtan Perrin","FRA","MF,FW",46,77,69,74,58,63,66,53,47,80,95,94,77,75,67,56,61,53
"288","Auxerre","Ligue 1","Rayan Raveloson","MAD","DF,MF",79,70,74,55,11,45,27,49,75,70,89,87,93,66,69,47,45,46
"290","Auxerre","Ligue 1","Hamza Sakhi","MAR","MF",57,57,77,74,39,62,59,35,35,91,89,87,91,58,59,28,27,27
"291","Auxerre","Ligue 1","Lassine Sinayoko","MLI","MF,FW",54,57,85,83,52,79,75,35,33,54,89,87,77,75,77,47,6,6
"292","Auxerre","Ligue 1","Birama Touré","MLI","MF",100,70,68,62,28,24,22,53,68,96,89,94,77,60,45,10,66,84
"293","Auxerre","Ligue 1","Souleymane Touré","FRA","DF",53,57,25,32,37,12,14,77,90,2,89,87,77,47,48,93,52,53
"295","Barcelona","La Liga","Ángel Alarcón","ESP","MF,FW",1,31,3,18,100,96,99,32,32,35,89,87,77,1,1,10,61,61
"296","Barcelona","La Liga","Jordi Alba","ESP","DF",50,70,45,49,41,33,35,79,90,88,89,87,77,35,36,28,88,88
"297","Barcelona","La Liga","Marcos Alonso","ESP","DF",37,57,17,32,70,12,23,90,90,15,89,87,77,38,39,93,63,64
"298","Barcelona","La Liga","Ronald Araújo","URU","DF",62,31,56,18,0,37,3,32,32,21,89,87,77,63,65,77,5,5
"300","Barcelona","La Liga","Alejandro Balde","ESP","DF",84,57,58,49,18,27,20,42,54,58,89,87,77,61,63,63,21,20
"302","Barcelona","La Liga","Sergio Busquets","ESP","MF",79,31,32,32,21,8,8,32,32,89,89,87,77,19,19,18,41,41
